Address description,Price,Rooms,Rooms detailed,Surface area,Bathrooms,Floor,House type,Total building floors,Year of construction,Condition,Energy Efficiency,URL
"3-room flat via Tripoli 69, Santa Rita, Turin","€ 168,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",65 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,6 floors,1970,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/101127811/
"4-room flat corso Chieri 184, Superga, Turin","€ 298,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",125 m²,2,"Ground floor, with lift",Apartment | Full ownership | Stately property class,2 floors,1990,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/101621695/
"Apartment corso Palestro 13, Quadrilatero Romano, Turin","€ 620,000",5+,"5+ (3 bedrooms, 5 others), 2 bathrooms, kitchen diner",205 m²,2,"2° floor, with lift, with disabled access",Apartment | Full ownership | Stately property class,6 floors,1928,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/99733762/
"2-room flat via Filadelfia 225, Santa Rita, Turin","€ 99,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",64 m² - See detail,,"2 floors: Semi-basement, 1°, with lift",Apartment | Full ownership | Medium property class,7 floors,1960,To be refurbished,G,https://www.immobiliare.it/en/annunci/101100931/
"4-room flat via Saluggia 6, Campidoglio, Turin","€ 198,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",104 m²,,"3°, with lift",Apartment | Full ownership | Stately property class,5 floors,1948,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/99792958/
"4-room flat via Torricelli, Crocetta, Turin","€ 270,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, kitchen diner",96 m²,2,"2° floor, with lift",Apartment | Full ownership | Medium property class,6 floors,1968,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/101094337/
"4-room flat via Monte Ortigara 8, Pozzo Strada, Turin","€ 249,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",110 m²,,"5°, with lift",Apartment | Full ownership | Stately property class,6 floors,1970,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/101454917/
"Apartment corso Galileo Ferraris 111, Crocetta, Turin","€ 789,000",5+,"5+ (3 bedrooms, 4 others), 3 bathrooms, kitchen diner",270 m²,3,"3°, with lift",Apartment | Full ownership | Stately property class,8 floors,1962,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/101361125/
"4-room flat via Issiglio 121, San Paolo, Turin","€ 310,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",105 m² | commercial 125 m² - See detail,2,"3°, with lift, with disabled access",Apartment | Full ownership | Stately property class,7 floors,2003,Excellent / Refurbished,C,https://www.immobiliare.it/en/annunci/101320067/
"Apartment piazza Statuto 3, Cittadella, Turin","€ 420,000",5,"5 (2 bedrooms, 3 others), 1 bathroom, kitchen diner",150 m²,,"5°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,1890,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/100722195/
"Penthouse viale Enrico Thovez, Colle della Maddalena, Turin","€ 600,000",5+,"5+ (2 bedrooms, 5 others), 2 bathrooms, kitchen diner",180 m²,2,"3°, with lift, with disabled access",Penthouse | Full ownership | Stately property class,3 floors,1970,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100897931/
"3-room flat via Alfieri, Via Roma, Turin","€ 460,000",3,"3 (1 bedroom, 2 others), 1 bathroom, semi-habitable kitchen",80 m²,,"2°, with lift, with disabled access",Apartment | Full ownership | Medium property class,5 floors,1700,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101220943/
"3-room flat via Torricelli  56, Crocetta, Turin","€ 395,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",115 m²,2,Ground floor,Apartment | Full ownership | Stately property class,1 floor,1920,New / Under construction,A4,https://www.immobiliare.it/en/annunci/98162530/
"Apartment via Ventimiglia 206, Italia 61, Turin","€ 445,000",5+,"5+ (3 bedrooms, 3 others), 2 bathrooms, kitchen diner",180 m²,2,"3°, with lift",Apartment | Full ownership | Stately property class,6 floors,1962,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/99319106/
"4-room flat corso Moncalieri 450, Cavoretto, Turin","€ 351,000",4,"4 (2 bedrooms, 2 others), 3 bathrooms, kitchen diner",173 m²,3,"2°, with lift",Apartment | Full ownership | Stately property class,3 floors,1970,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/101533205/
"3-room flat via Prospero Richelmy 10, Nizza Millefonti, Turin","€ 159,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",80 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,6 floors,1970,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101173257/
"3-room flat via Andrea Sansovino 95, Le Vallette, Turin","€ 120,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",85 m²,,"6°, with lift",Apartment | Full ownership | Stately property class,9 floors,1970,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/99714392/
"3-room flat via Avigliana, Cit Turin, Turin","€ 165,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",65 m²,,1°,Apartment | Full ownership | Medium property class,4 floors,1945,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/100906855/
"Apartment corso Giulio Cesare 4, Aurora, Turin","€ 950,000",5+,"5+ (20 bedrooms, 2 others), 3+ bathrooms, kitchen diner","1,100 m² - See detail",3+,"2 floors: from 1° to 2°, with lift, with disabled access",Apartment | Full ownership | Medium property class,4 floors,1900,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/99061002/
"Attic via Giovanni Boccaccio 71, Madonna del Pilone, Turin","€ 179,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",110 m²,,4°,Attic | Full ownership | Stately property class,4 floors,1952,Excellent / Refurbished,C,https://www.immobiliare.it/en/annunci/99031974/
"2-room flat via Conte di Roccavione 107, Borgo Vittoria, Turin","€ 45,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",46 m² - See detail,,"2 floors: Basement (-1), 5°, with lift",Apartment | Full ownership | Medium property class,5 floors,1955,To be refurbished,G,https://www.immobiliare.it/en/annunci/101260883/
"2-room flat via Stelvio, 14, Pozzo Strada, Turin","€ 109,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",65 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,7 floors,1966,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/100798925/
"2-room flat via Varaita 9, Nizza Millefonti, Turin","€ 79,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",50 m²,,2°,Apartment | Full ownership | Medium property class,2 floors,1940,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/101509797/
"Apartment corso Siracusa 99, Santa Rita, Turin","€ 355,000",5,"5 (3 bedrooms, 2 others), kitchen diner",161 m²,,"7°, with lift",Apartment | Full ownership | Stately property class,9 floors,1965,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100897471/
"4-room flat corso agnelli, 40, Santa Rita, Turin","€ 225,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",120 m² | commercial 126 m² - See detail,,"1°, with lift",Apartment | Full ownership | Stately property class,9 floors,1961,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/92560356/
"4-room flat via Perosa 72, Cenisia, Turin","€ 200,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",90 m²,,3°,Apartment | Full ownership | Stately property class,3 floors,1920,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/100897651/
"Apartment via Volpianoo 5, Barriera di Milano, Turin","€ 110,000",5,"5 (4 bedrooms, 1 other), 1 bathroom, kitchen diner",125 m²,,"Ground floor, with lift, with disabled access",Apartment | Full ownership | Economic property class,4 floors,1940,To be refurbished,F,https://www.immobiliare.it/en/annunci/99365432/
"3-room flat via Giuseppe Luigi Passalacqua 7, Cittadella, Turin","€ 320,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",140 m²,2,"Ground floor, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,1800,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/101000999/
"4-room flat corso Trapani, Pozzo Strada, Turin","€ 195,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",102 m²,2,"1° floor, with lift",Apartment | Full ownership | Stately property class,,1950,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/101549715/
"4-room flat via Lesegno, Santa Rita, Turin","€ 275,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",110 m²,2,"5°, with lift",Apartment | Full ownership | Medium property class,6 floors,1970,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100655133/
"3-room flat corso Alessandro Tassoni 76, San Donato, Turin","€ 210,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",104 m²,,"7°, with lift",Apartment | Full ownership | Stately property class,7 floors,1960,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/100441814/
"Loft via dell'Accademia Albertina 31, Via della Rocca, Turin","€ 460,000",3,"3 (1 bedroom, 2 others), 3 bathrooms, kitchen nook",125 m²,3,"Ground floor, with disabled access",Loft | Full ownership | Stately property class,1 floor,2022,New / Under construction,A,https://www.immobiliare.it/en/annunci/101408429/
"4-room flat via Tirreno 159, Santa Rita, Turin","€ 159,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen diner",104 m²,,"Mezzanine, with lift",Apartment | Full ownership,6 floors,1965,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/100430366/
"2-room flat via Giovanni Zambelli, Mirafiori Nord, Turin","€ 75,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",54 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,4 floors,1967,Good condition / Liveable,C,https://www.immobiliare.it/en/annunci/99629734/
"Apartment via 20 Settembre 22, Via Roma, Turin","€ 970,000",5+,"5+ (4 bedrooms, 2 others), 3+ bathrooms, kitchen diner",230 m²,3+,"6°, with lift",Apartment | Stately property class,1 floor,1940,New / Under construction,D,https://www.immobiliare.it/en/annunci/101409009/
"4-room flat corso Orbassano 76, Santa Rita, Turin","€ 365,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",145 m²,2,"3°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,1940,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/98121836/
"4-room flat via Luigi Cibrario, Campidoglio, Turin","€ 167,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",100 m²,,"6°, with lift",Apartment | Full ownership | Stately property class,7 floors,,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101478339/
"Apartment via Giuseppe Garibaldi 13, Quadrilatero Romano, Turin","€ 840,000",5+,"5+ (3 bedrooms, 5 others), 1 bathroom, semi-habitable kitchen",230 m²,,"3°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,1900,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/101509575/
"Loft via dell'Accademia Albertina 31, Via della Rocca, Turin","€ 480,000",3,"3 (1 bedroom, 2 others), 3 bathrooms, kitchen nook",140 m²,3,"Ground floor, with disabled access",Loft | Full ownership | Stately property class,1 floor,2022,New / Under construction,A,https://www.immobiliare.it/en/annunci/101408049/
"4-room flat piazza Lorenzo Bernini, Cit Turin, Turin","€ 890,000",4,"4 (3 bedrooms, 1 other), 3 bathrooms, open kitchen",188 m²,3,"9°, with lift, with disabled access",Apartment | Full ownership | Luxury property,10 floors,2021,New / Under construction,A3,https://www.immobiliare.it/en/annunci/92648222/
"Apartment via Gravere 13, Parella, Turin","€ 380,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, open kitchen",132 m²,2,"3° floor, with lift",Apartment | Full ownership | Stately property class,5 floors,2022,New / Under construction,,https://www.immobiliare.it/en/annunci/98163014/
"2-room flat via Verzuolo 36, Cenisia, Turin","€ 124,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",50 m²,,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,1930,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/91919778/
"3-room flat via Alessandro Manzoni, Cittadella, Turin","€ 259,000",3,"3 (1 bedroom, 2 others), 1 bathroom, open kitchen",75 m²,,"2° floor, with lift, with disabled access",Apartment | Full ownership | Medium property class,6 floors,1870,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101601541/
"2-room flat corso Vercelli 88, Barriera di Milano, Turin","€ 44,900",2,"2 (1 bedroom, 1 other), 2 bathrooms, kitchen diner",65 m²,2,"Ground floor, with disabled access",Apartment | Full ownership | Medium property class,1 floor,1940,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/99684512/
"Apartment Strada Comunale di Superga 21, Sassi, Turin","€ 630,000",5,"5 (3 bedrooms, 2 others), 3 bathrooms, kitchen diner",197 m²,3,"Ground floor, with lift",Apartment | Full ownership | Stately property class,2 floors,1700,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/99376260/
"2-room flat corso Venezia 49, Borgo Vittoria, Turin","€ 73,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",50 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,5 floors,1960,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/85060728/
"3-room flat via Giovanni Zambelli 10, Mirafiori Nord, Turin","€ 110,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",81 m²,,"3°, with lift",Apartment | Full ownership | Medium property class,5 floors,1965,To be refurbished,F,https://www.immobiliare.it/en/annunci/100679477/
"3-room flat via Verdi, Giardini Reali, Turin","€ 590,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",120 m²,2,"1°, with lift",Apartment | Full ownership | Luxury property,5 floors,,Excellent / Refurbished,A1,https://www.immobiliare.it/en/annunci/101221201/
"3-room flat via Pordenone 6, Santa Rita, Turin","€ 132,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",75 m² | commercial 75.95 m² - See detail,,"4°, with lift",Apartment | Full ownership | Medium property class,5 floors,1959,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/95833734/
"Apartment via Amedeo Peyron 36, San Donato, Turin","€ 300,000",5,"5 (4 bedrooms, 1 other), 2 bathrooms, kitchen diner",114 m²,2,"Mezzanine, with lift",Apartment | Full ownership | Stately property class,4 floors,,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/101577299/
"3-room flat via Gerolamo Tiraboschi 17, Madonna di Campagna, Turin","€ 100,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",80 m²,,4°,Apartment | Full ownership | Medium property class,4 floors,1965,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101225985/
"2-room flat via Gabriele Chiabrera 35, San Salvario - Dante, Turin","€ 390,000",2,"2 (1 bedroom, 1 other), 2 bathrooms, open kitchen",86 m² - See detail,2,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,2022,New / Under construction,,https://www.immobiliare.it/en/annunci/99574184/
"Apartment via Gabriele Chiabrera 35, San Salvario - Dante, Turin","€ 1,035,000",5,"5 (3 bedrooms, 2 others), 3+ bathrooms, kitchen diner",203 m² - See detail,3+,"4°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,2022,New / Under construction,,https://www.immobiliare.it/en/annunci/101125823/
"3-room flat via Salbertrand 17, Parella, Turin","€ 144,000",3,"3 (1 bedroom, 2 others), 1 bathroom, semi-habitable kitchen",58 m²,,"Mezzanine, with lift",Apartment | Full ownership | Luxury property,3 floors,1945,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/93620618/
"2-room flat via Rovereto 63, Santa Rita, Turin","€ 129,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",60 m²,,2°,Apartment | Full ownership | Medium property class,5 floors,1970,New / Under construction,D,https://www.immobiliare.it/en/annunci/100442456/
"Penthouse via Pietro Cossa 112, Parella, Turin","€ 169,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",79 m²,,"8°, with lift",Penthouse | Medium property class,8 floors,1960,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100345224/
"Apartment via Madama Cristina 95, San Salvario - Dante, Turin","€ 350,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",120 m²,2,"3°, with lift",Apartment | Full ownership | Medium property class,3 floors,1940,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/97801750/
"Apartment via rubino, 75, Centro Europa, Turin","€ 178,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",130 m²,2,"1°, with lift, with disabled access",Apartment | Full ownership | Medium property class,10 floors,1970,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101437335/
"Apartment via San Francesco d'Assisi, Quadrilatero Romano, Turin","€ 640,000",5+,"5+ (4 bedrooms, 5 others), 3+ bathrooms, kitchen diner",270 m²,3+,"1°, with lift",Apartment | Full ownership | Stately property class,3 floors,1900,To be refurbished,E,https://www.immobiliare.it/en/annunci/100355834/
"3-room flat via Rovereto 58, Santa Rita, Turin","€ 129,000",3,"3 (1 bedroom, 2 others), 1 bathroom",80 m²,,"2° floor, with lift",Apartment | Full ownership,5 floors,1960,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/100402250/
"3-room flat via Vandalino 82/28, Pozzo Strada, Turin","€ 139,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",70 m²,,"6°, with lift",Apartment | Medium property class,8 floors,1965,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/98361376/
"2-room flat via Saluzzo 32, San Salvario - Baretti, Turin","€ 168,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",69 m²,,"3° floor, with lift",Apartment | Full ownership | Medium property class,3 floors,1850,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/99117896/
"Apartment largo Re Umberto 98, Crocetta, Turin","€ 690,000",5+,"5+ (3 bedrooms, 4 others), 3 bathrooms, kitchen diner",233 m²,3,"4°, with lift",Apartment | Full ownership | Stately property class,8 floors,1968,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101635159/
"Loft corso Racconigi 136, San Paolo, Turin","€ 89,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",50 m²,,"Ground floor, with disabled access",Loft | Full ownership | Medium property class,5 floors,,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/91594980/
"2-room flat via Lauro Rossi 4, Barriera di Milano, Turin","€ 34,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",52 m²,,2°,Apartment | Medium property class,4 floors,1940,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/101223059/
"3-room flat via Saverio Mercadante 1, Barriera di Milano, Turin","€ 64,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",75 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,8 floors,1960,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/101244767/
"2-room flat via Ventimiglia 214, Italia 61, Turin","€ 125,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",60 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,9 floors,1970,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100602908/
Building for Sale,"€ 881,000",5+,"5+ rooms, 3+ bathrooms",378 m²,3+,2°,Building | Stately property class,1 floor,1935,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100789171/
"4-room flat corso Dante Alighieri 2, San Secondo, Turin","€ 255,000",4,"4 (1 bedroom, 3 others), 1 bathroom, kitchen diner",121 m²,,"5°, with lift",Apartment | Full ownership | Stately property class,9 floors,,To be refurbished,F,https://www.immobiliare.it/en/annunci/98780834/
"2-room flat via Vittoria 45, Borgo Vittoria, Turin","€ 53,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",58 m²,,"Mezzanine, with lift",Apartment | Full ownership | Medium property class,5 floors,1960,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101124937/
"4-room flat corso Eusebio Giambone 46, Mirafiori Nord, Turin","€ 188,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, open kitchen",100 m²,2,"7°, with lift",Apartment | Full ownership | Medium property class,9 floors,1967,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/100323310/
"Apartment via Gobetti, Via Roma, Turin","€ 1,180,000",5,"5 (2 bedrooms, 3 others), 2 bathrooms, kitchen diner",145 m²,2,"6°, with lift, with disabled access",Apartment | Full ownership | Medium property class,6 floors,1936,Excellent / Refurbished,A4,https://www.immobiliare.it/en/annunci/99952096/
"4-room flat via Giuseppe Biamonti 8, Gran Madre - Crimea, Turin","€ 594,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",119 m² - See detail,2,"3 floors: from Basement (-2) to Basement (-1), 2°, with lift, with disabled access",Apartment | Full ownership | Luxury property,4 floors,2023,New / Under construction,A4,https://www.immobiliare.it/en/annunci/93482398/
"3-room flat corso Vittorio Emanuele Ii, Crocetta, Turin","€ 249,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",94 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,5 floors,1908,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/101420383/
"4-room flat via Frejus, 118, Cenisia, Turin","€ 209,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, open kitchen",110 m²,2,"Mezzanine, with lift",Apartment | Full ownership | Medium property class,3 floors,1935,New / Under construction,D,https://www.immobiliare.it/en/annunci/100823185/
"Two-family villa Strada del Fioccardo 202/12, Cavoretto, Turin","€ 820,000",5+,"5+ (4 bedrooms, 2 others), 3+ bathrooms, kitchen diner",390 m² - See detail,3+,"2 floors: Ground floor, 1°",Two-family villa | Full ownership | Stately property class,2 floors,1900,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/89163777/
"2-room flat via Bernardino Luini 147, Lucento, Turin","€ 81,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",60 m²,,"6°, with lift",Apartment | Full ownership | Medium property class,6 floors,1962,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/100554798/
"Apartment corso Monte Grappa 61, Parella, Turin","€ 472,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",143 m²,2,"6°, with lift",Apartment | Full ownership | Medium property class,8 floors,1952,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/98964470/
"Attic new, 140 m², Cavoretto, Turin","€ 465,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",140 m²,2,"Top floor, with lift",Penthouse | Full ownership | Luxury property,5 floors,2016,New / Under construction,A,https://www.immobiliare.it/en/annunci/62269176/
"2-room flat corso Regina Margherita 86BIS, Vanchiglia, Turin","€ 149,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",61 m² - See detail,,"Ground floor, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,1930,New / Under construction,E,https://www.immobiliare.it/en/annunci/96571930/
"Attic via Matteo Pescatore, Giardini Reali, Turin","€ 112,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",60 m²,,4°,Attic | Full ownership | Economic property class,4 floors,1800,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/95317714/
"3-room flat corso San Maurizio, Giardini Reali, Turin","€ 219,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",88 m²,,"3°, with lift",Apartment | Full ownership | Medium property class,8 floors,1957,To be refurbished,F,https://www.immobiliare.it/en/annunci/95315958/
"Loft via Saluzzo 29, San Salvario - Baretti, Turin","€ 230,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",55 m²,,"Ground floor, with lift, with disabled access",Loft | Full ownership | Luxury property,5 floors,2011,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100004822/
"2-room flat corso Potenza 158, Madonna di Campagna, Turin","€ 133,300",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",62 m²,,"3°, with lift",Apartment | Full ownership | Stately property class,5 floors,2022,New / Under construction,A+,https://www.immobiliare.it/en/annunci/96572736/
"3-room flat via Verdi, Giardini Reali, Turin","€ 490,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",102 m²,2,"4°, with lift",Apartment | Full ownership | Medium property class,5 floors,,Excellent / Refurbished,A1,https://www.immobiliare.it/en/annunci/101222101/
"3-room flat corso Lombardia 136, Lucento, Turin","€ 80,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",70 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,7 floors,1970,To be refurbished,,https://www.immobiliare.it/en/annunci/100683495/
"Apartment corso Taranto, Regio Parco, Turin","€ 93,000",5,"5 (3 bedrooms, 2 others), 1 bathroom, kitchen diner",95 m²,,"Mezzanine, with lift",Apartment | Full ownership | Medium property class,4 floors,1950,To be refurbished,E,https://www.immobiliare.it/en/annunci/98713152/
"4-room flat via San Marino 69, Santa Rita, Turin","€ 255,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, open kitchen",97 m² - See detail,2,"3 floors: Basement (-1), 2°, 8°, with lift",Apartment | Full ownership | Stately property class,8 floors,1964,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100939683/
"3-room flat via Veglia, Santa Rita, Turin","€ 245,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",96 m²,,"Ground floor, with disabled access",Apartment | Full ownership | Stately property class,1 floor,2023,New / Under construction,A2,https://www.immobiliare.it/en/annunci/101610961/
"Single family villa corso Moncalieri 365, Cavoretto, Turin","€ 1,090,000",5+,"5+ (9 bedrooms, 3 others), 3+ bathrooms, kitchen diner",500 m² - See detail,3+,"2 floors: Mezzanine, 1°",Single family villa | Luxury property,2 floors,1900,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/81123649/
"2-room flat via Claviere 12, Pozzo Strada, Turin","€ 99,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",60 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,5 floors,1980,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/100790105/
"2-room flat via Pasquale Paoli 7, Lingotto, Turin","€ 48,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",30 m²,,Ground floor,Apartment | Full ownership | Economic property class,1 floor,1950,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/101120795/
"Apartment corso San Maurizio 73, Vanchiglia, Turin","€ 438,000",5+,"5+ (4 bedrooms, 2 others), 2 bathrooms, kitchen diner",205 m² - See detail,2,"2 floors: Basement (-1), 2°, with lift",Apartment | Full ownership | Stately property class,4 floors,1856,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/98767448/
"Apartment corso Fiume, Gran Madre - Crimea, Turin","€ 1,080,000",5+,"5+ (4 bedrooms, 2 others), 3 bathrooms, kitchen diner",243 m² - See detail,3,"2 floors: Basement (-1), 3°, with lift, with disabled access",Apartment | Full ownership | Stately property class,3 floors,1900,To be refurbished,G,https://www.immobiliare.it/en/annunci/91407700/
"2-room flat via Riva del Garda 8, Mirafiori Nord, Turin","€ 95,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",60 m²,,"1°, with lift, with disabled access",Apartment | Full ownership | Medium property class,6 floors,1960,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99680480/
